time,stockX,stockY,stockZ
21.7,46.25974,-8.337128,17.719715
21.800001,46.099033,-8.426908,17.760946
21.9,45.938587,-8.5168705,17.802162
22.0,45.778404,-8.606989,17.84334
22.1,45.618465,-8.697304,17.88453
22.2,45.458794,-8.787799,17.925735
22.300001,45.299377,-8.878479,17.966967
22.4,45.140232,-8.969352,18.008238
22.5,44.981365,-9.060424,18.049568
22.6,44.822792,-9.151706,18.090973
22.7,44.664524,-9.243204,18.132467
22.800001,44.50658,-9.33493,18.174068
22.9,44.348988,-9.42689,18.215796
23.0,44.19174,-9.519123,18.257671
23.1,44.034885,-9.611595,18.299706
23.2,43.878418,-9.7043085,18.341904
23.300001,43.722347,-9.797251,18.384274
23.4,43.56668,-9.890407,18.426817
23.5,43.411407,-9.983764,18.46954
23.6,43.25654,-10.077304,18.512438
23.7,43.102077,-10.171012,18.555513
23.800001,42.948013,-10.264871,18.598764
23.9,42.794342,-10.35886,18.642181
24.0,42.641094,-10.452952,18.685774
24.1,42.488216,-10.547156,18.729517
24.2,42.335728,-10.64146,18.773403
24.300001,42.183605,-10.735862,18.817421
24.4,42.031845,-10.830355,18.861547
24.5,41.880432,-10.924944,18.90577
24.6,41.729355,-11.019625,18.950066
24.7,41.57858,-11.114398,18.994415
24.800001,41.4281,-11.209263,19.038792
24.9,41.277897,-11.304218,19.083178
25.0,41.127937,-11.399274,19.127542
25.1,40.97803,-11.494454,19.171972
25.2,40.828445,-11.589701,19.216269
25.300001,40.679058,-11.685037,19.2605
25.4,40.529835,-11.780453,19.304653
25.5,40.380768,-11.875941,19.34872
25.6,40.231853,-11.971498,19.392689
25.7,40.083076,-12.067108,19.436546
25.800001,39.934437,-12.162764,19.480276
25.9,39.785927,-12.2584505,19.523867
26.0,39.637527,-12.3541565,19.5673
26.1,39.489243,-12.449868,19.610561
26.2,39.341022,-12.545549,19.653625
26.300001,39.19295,-12.641218,19.696491
26.4,39.04498,-12.7368355,19.739109
26.5,38.8971,-12.832385,19.781435
26.6,38.749302,-12.927835,19.823423
26.7,38.601593,-13.02316,19.865036
26.800001,38.45397,-13.118331,19.906242
26.9,38.30645,-13.213313,19.947012
27.0,38.159035,-13.308079,19.987324
27.1,38.011738,-13.402591,20.027166
27.2,37.864582,-13.496811,20.066525
27.300001,37.717598,-13.590702,20.105394
27.4,37.5708,-13.684219,20.143774
27.5,37.424232,-13.777325,20.181664
27.6,37.277905,-13.869991,20.219091
27.7,37.131836,-13.962178,20.256062
27.800001,36.986042,-14.053848,20.292572
27.9,36.840538,-14.144971,20.32864
28.0,36.695324,-14.235526,20.364273
28.1,36.550407,-14.325493,20.399477
28.2,36.405796,-14.414857,20.434265
28.300001,36.261494,-14.503611,20.468645
28.4,36.117508,-14.591751,20.50263
28.5,35.973824,-14.679279,20.53623
28.6,35.83045,-14.766206,20.569458
28.7,35.687435,-14.852527,20.60232
28.800001,35.544678,-14.938283,20.634844
28.9,35.40226,-15.023478,20.667059
29.0,35.260216,-15.108125,20.699005
29.1,35.118576,-15.192234,20.73071
29.2,34.97737,-15.27581,20.762205
29.300001,34.836636,-15.358858,20.793518
29.4,34.696415,-15.441374,20.824669
29.5,34.556747,-15.523363,20.855684
29.6,34.417664,-15.604813,20.886581
29.7,34.27919,-15.685738,20.917423
29.800001,34.141365,-15.766107,20.94812
29.9,34.00416,-15.845954,20.978678
30.0,33.867558,-15.925306,21.009073
30.1,33.731537,-16.004183,21.039276
30.2,33.596073,-16.082602,21.06926
30.300001,33.461147,-16.16058,21.098986
30.4,33.32673,-16.238138,21.128435
30.5,33.192795,-16.31529,21.15758
30.6,33.05931,-16.392048,21.186392
30.7,32.92626,-16.46843,21.214851
30.800001,32.793625,-16.54443,21.242939
30.9,32.661407,-16.620035,21.270664
31.0,32.529594,-16.69524,21.29803
31.1,32.3982,-16.77003,21.325048
31.2,32.267227,-16.844387,21.35173
31.300001,32.136677,-16.918295,21.378094
31.4,32.006565,-16.99174,21.404163
31.5,31.876884,-17.0647,21.429955
31.6,31.747658,-17.137156,21.455503
31.7,31.619,-17.209116,21.480839
31.800001,31.49074,-17.280518,21.505974
31.9,31.36297,-17.35136,21.530945
32.0,31.23569,-17.421633,21.555767
32.100002,31.108904,-17.491323,21.580462
32.2,30.982628,-17.560423,21.605045
32.3,30.856857,-17.628925,21.62953
32.4,30.731594,-17.696838,21.653925
32.5,30.606848,-17.764153,21.67823
32.600002,30.482615,-17.830883,21.702457
32.7,30.3589,-17.897036,21.726593
32.8,30.235672,-17.962622,21.750687
32.9,30.112974,-18.027662,21.774647
33.0,29.990793,-18.092175,21.798494
33.100002,29.869118,-18.1562,21.822214
33.2,29.747953,-18.219767,21.845783
33.3,29.627296,-18.282898,21.869183
33.4,29.507143,-18.345634,21.892395
33.5,29.387497,-18.407993,21.9154
33.600002,29.268366,-18.470009,21.938189
33.7,29.14975,-18.531698,21.960745
33.8,29.031652,-18.593082,21.983053
33.9,28.914078,-18.654188,22.005106
34.0,28.797043,-18.71503,22.026892
34.100002,28.680538,-18.775627,22.048405
34.2,28.564589,-18.835997,22.06963
34.3,28.449205,-18.896132,22.09051
34.4,28.334381,-18.956083,22.11114
34.5,28.22013,-19.015827,22.131472
34.600002,28.106455,-19.075377,22.151508
34.7,27.993353,-19.13472,22.171247
34.8,27.88082,-19.19386,22.190693
34.9,27.76885,-19.252798,22.209835
35.0,27.657452,-19.311533,22.22868
35.100002,27.546608,-19.370071,22.24722
35.2,27.436323,-19.42841,22.26546
35.3,27.32659,-19.486551,22.283388
35.4,27.21739,-19.544502,22.301004
35.5,27.108727,-19.602262,22.318302
35.600002,27.000584,-19.65984,22.33528
35.7,26.89296,-19.717236,22.351929
35.8,26.785837,-19.774452,22.368244
35.9,26.679125,-19.831423,22.384329
36.0,26.572973,-19.888298,22.39998
36.100002,26.467312,-19.945026,22.415266
36.2,26.362148,-20.001625,22.430162
36.3,26.257484,-20.058113,22.44465
36.4,26.153324,-20.114498,22.45871
36.5,26.049686,-20.170788,22.472317
36.600002,25.946566,-20.226995,22.485449
36.7,25.843983,-20.283121,22.498085
36.8,25.741943,-20.339172,22.510199
36.9,25.640463,-20.395145,22.52177
37.0,25.539553,-20.451042,22.532774
37.100002,25.43923,-20.506863,22.543186
37.2,25.339518,-20.562595,22.552984
37.3,25.240427,-20.618235,22.56214
37.4,25.141977,-20.673798,22.570654
37.5,25.044186,-20.729227,22.578466
37.600002,24.947054,-20.784515,22.585594
37.7,24.850594,-20.839636,22.592037
37.8,24.754818,-20.894556,22.597792
37.9,24.659721,-20.94925,22.602861
38.0,24.565325,-21.003677,22.607254
38.100002,24.471622,-21.057825,22.61097
38.2,24.378635,-21.111649,22.614029
38.3,24.286354,-21.165125,22.616436
38.4,24.194792,-21.218222,22.618214
38.5,24.103952,-21.270906,22.619377
38.600002,24.013842,-21.32315,22.61995
38.7,23.924461,-21.374916,22.619951
38.8,23.83581,-21.426178,22.61941
38.9,23.7479,-21.476915,22.618351
39.0,23.66074,-21.527102,22.616796
39.100002,23.574339,-21.576733,22.614777
39.2,23.488699,-21.625786,22.612312
39.3,23.403831,-21.67425,22.609436
39.4,23.319729,-21.722118,22.606173
39.5,23.236406,-21.76938,22.602547
39.600002,23.15386,-21.816036,22.598595
39.7,23.07209,-21.86208,22.594341
39.8,22.991093,-21.907513,22.589817
39.9,22.910862,-21.952337,22.58505
40.0,22.8314,-21.996565,22.58007
40.100002,22.752693,-22.040197,22.574911
40.2,22.67474,-22.083216,22.56964
40.3,22.597527,-22.125683,22.56421
40.4,22.521038,-22.167583,22.558687
40.5,22.445257,-22.208935,22.553095
40.600002,22.370167,-22.249744,22.547464
40.7,22.29575,-22.29003,22.541817
40.8,22.221992,-22.329798,22.536175
40.9,22.148863,-22.36907,22.530561
41.0,22.076359,-22.407852,22.524996
41.100002,22.00445,-22.446161,22.519491
41.2,21.93312,-22.484005,22.514063
41.3,21.862358,-22.521402,22.50873
41.4,21.792137,-22.55836,22.503498
41.5,21.722437,-22.59489,22.498377
41.600002,21.653242,-22.631008,22.493376
41.7,21.58457,-22.66675,22.488508
41.8,21.516338,-22.702078,22.483767
41.9,21.448557,-22.737026,22.479156
42.0,21.38122,-22.7716,22.474678
42.100002,21.314304,-22.80581,22.470327
42.2,21.247808,-22.83966,22.466105
42.3,21.181707,-22.873161,22.462004
42.4,21.115997,-22.906324,22.458021
42.5,21.05067,-22.939152,22.454153
42.600002,20.985704,-22.971655,22.4504
42.7,20.921106,-23.003836,22.446753
42.8,20.856861,-23.035704,22.443207
42.9,20.792961,-23.067266,22.439762
43.0,20.729404,-23.09853,22.43641
43.100002,20.666183,-23.129501,22.43315
43.2,20.603296,-23.160181,22.429976
43.3,20.54074,-23.190578,22.426878
43.4,20.478504,-23.2207,22.423857
43.5,20.416601,-23.25055,22.420902
43.600002,20.35502,-23.280134,22.418013
43.7,20.293764,-23.309433,22.415142
43.8,20.232832,-23.338493,22.412355
43.9,20.172228,-23.367302,22.40962
44.0,20.11195,-23.395864,22.406939
44.100002,20.05201,-23.424189,22.4043
44.2,19.992403,-23.452274,22.401709
44.3,19.933132,-23.48013,22.399158
44.4,19.874205,-23.507761,22.396654
44.5,19.815626,-23.53517,22.394188
44.600002,19.757395,-23.562365,22.39176
44.7,19.699518,-23.589346,22.389374
44.8,19.642,-23.616121,22.38702
44.9,19.584843,-23.64269,22.38471
45.0,19.528051,-23.669058,22.38243
45.100002,19.47163,-23.695232,22.38019
45.2,19.415586,-23.721212,22.377983
45.3,19.359922,-23.747004,22.375814
45.4,19.30464,-23.772612,22.37368
45.5,19.24975,-23.798033,22.371584
45.600002,19.195253,-23.82328,22.369528
45.7,19.14116,-23.848349,22.367504
45.8,19.0875,-23.873297,22.365606
45.9,19.03422,-23.898031,22.363676
46.0,18.981348,-23.922596,22.361782
46.100002,18.92889,-23.946995,22.359926
46.2,18.876854,-23.971224,22.35811
46.3,18.82523,-23.995293,22.35633
46.4,18.774025,-24.019197,22.354593
46.5,18.723244,-24.042938,22.35289
46.600002,18.672882,-24.066519,22.351223
46.7,18.62295,-24.08994,22.34959
46.8,18.57344,-24.1132,22.347998
